tender,firm rut,buyer,select,offer send,value offer,offer open,offer close,dt_signature
483-6-LE20,10311270-2,61607103-3,0,2020-03-19,3525.69285,2020-03-05,2020-03-31,2020-04-21
1540-75-LE21,10311327-K,61607904-2,1,2021-06-10,6636.004911,2021-05-28,2021-06-23,2021-07-15
1523-49-LE18,10311905-7,61602236-9,0,2018-06-17,47615.9628945,2018-06-05,2018-07-01,2018-07-22
1075963-323-LR20,10316130-4,61606001-5,0,2020-12-30,369202.019964564,2020-12-16,2021-01-11,2021-01-31
2146-68-L118,10319209-9,61606405-3,0,2018-07-26,1951.06514,2018-07-13,2018-08-08,2018-08-31
757-24-L119,10325125-7,61601000-K,1,2019-04-03,4753.3573075,2019-03-21,2019-04-16,2019-05-07
2048-8-LQ18,10329604-8,61975800-5,1,2018-03-06,127900.594902936,2018-02-21,2018-03-19,2018-04-16
4701-2-LE18,10336882-0,61607001-0,1,2018-02-07,13629.142725768,2018-01-25,2018-02-20,2018-03-10
4701-5-LE18,10336882-0,61607001-0,0,2018-02-15,20468.181,2018-02-08,2018-03-06,2018-03-20
1057509-252-LP19,10336882-0,61607001-0,0,2020-01-02,24431.345563944,2019-12-21,2020-01-16,2020-02-02
1057509-166-LP20,10336882-0,61607001-0,0,2020-09-27,29601.774408,2020-09-15,2020-10-11,2020-10-30
2060-115-L118,10340691-9,61602222-9,0,2018-06-25,2536.1711,2018-06-11,2018-07-07,2018-07-25
1070329-8-LE21,10344224-9,61980370-1,1,2021-04-23,13632.0944,2021-04-10,2021-05-06,2021-05-25
1080089-54-LE21,10345765-3,61607900-K,1,2021-05-17,1516.5981665,2021-05-04,2021-05-30,2021-06-18
2099-26-LE20,10346260-6,61601000-K,0,2020-09-30,0,2020-09-17,2020-10-13,2020-11-01
4464-52-LE18,10347458-2,61606903-9,0,2018-07-30,10370.9651952,2018-07-17,2018-08-12,2018-09-04
1057547-255-LP19,10351517-3,61607502-0,1,2019-08-12,1224.779183,2019-07-30,2019-08-25,2019-09-14
2128-63-LE18,10351530-0,61606404-5,0,2019-01-14,1698.477375,2019-01-01,2019-01-27,2019-02-15
162-15-LE19,10353330-9,61601000-K,1,2019-03-02,,2019-02-17,2019-03-15,2019-04-02
162-13-LE20,10353330-9,61601000-K,1,2020-04-17,,2020-04-04,2020-04-30,2020-05-20
1057049-282-LE21,10366814-K,61608604-9,0,2021-10-01,28140.9138804,2021-09-14,2021-10-10,2021-11-01
5074-72-LE18,10367032-2,61607901-8,0,2018-11-19,18983.04055,2018-11-06,2018-12-02,2018-12-23
2200-63-LE18,10368369-6,61606700-1,1,2018-09-23,23481.141434602,2018-09-10,2018-10-06,2018-11-01
1488-75-LE20,10377623-6,61602232-6,0,2020-11-19,9871.03461,2020-11-06,2020-12-02,2020-12-21
2099-50-L118,10380800-6,61601000-K,0,2018-10-01,5653.476399881,2018-09-18,2018-10-14,2018-10-31
2036-42-L118,10393542-3,61602247-4,1,2018-10-04,3051.1866865,2018-09-21,2018-10-17,2018-11-07
1057540-83-LE20,10400247-1,61602198-2,0,2020-12-13,1247.636365,2020-11-29,2020-12-25,2021-01-13
2115-21-LE19,10403484-5,65061030-K,1,2019-06-17,5532.699,2019-06-04,2019-06-30,2019-07-23
5624-11-L119,10403484-5,61607200-5,1,2019-09-06,5403.426,2019-08-24,2019-09-19,2019-10-09
1464-55-LE21,10403484-5,61606918-7,1,2021-06-03,9623.898,2021-05-21,2021-06-16,2021-07-10
2067-22-L118,10409515-1,61602244-K,0,2018-08-16,2022.85578,2018-08-06,2018-09-01,2018-09-23
1057420-3-LE20,10442073-7,61607305-2,1,2020-02-04,,2020-01-22,2020-02-17,2020-03-07
1380-98-LP19,10442395-7,61602232-6,0,2019-05-20,97754.398464,2019-05-06,2019-06-01,2019-06-24
924-41-L118,10444562-4,61601000-K,1,2018-07-17,2579.5074,2018-07-04,2018-07-30,2018-08-19
1057548-14-L120,10445262-0,61607503-9,1,2020-08-04,3612.3216,2020-07-22,2020-08-17,2020-09-03
1057547-98-LE21,10445262-0,61607502-0,1,2021-04-25,7557.321,2021-04-12,2021-05-08,2021-05-28
494-3-LQ19,10448932-K,61606307-3,1,2019-01-27,298809.455,2019-01-14,2019-02-09,2019-02-28
1975-5-L118,10452846-5,61607006-1,0,2018-04-25,3131.57052,2018-04-12,2018-05-08,2018-05-25
5128-49-LE18,10452846-5,61607001-0,0,2018-12-11,0,2018-11-27,2018-12-23,2019-01-10
502-163-LE18,10452846-5,61607202-1,1,2018-12-27,39646.49088,2018-12-14,2019-01-09,2019-01-29
4375-74-LE19,10452846-5,61602189-3,0,2019-05-06,31167.08,2019-04-23,2019-05-19,2019-06-05
1031849-7-LP19,10452846-5,61607200-5,0,2019-05-29,2341.61241,2019-05-15,2019-06-10,2019-06-27
4464-9-LE20,10452846-5,61606903-9,1,2020-03-31,2455.874139,2020-03-18,2020-04-13,2020-05-05
1057414-6-LE20,10452846-5,61607300-1,1,2020-03-23,,2020-03-10,2020-04-05,2020-04-28
4375-127-LE20,10452846-5,61602189-3,0,2020-06-30,6113.5827,2020-06-15,2020-07-11,2020-07-31
4375-26-LE21,10452846-5,61602189-3,0,2021-03-19,13590.444,2021-03-06,2021-04-01,2021-04-25
1057544-64-LE21,10452846-5,61607202-1,0,2021-03-26,21905.80864,2021-03-13,2021-04-08,2021-04-28
1057419-18-LP20,10458154-4,61607304-4,1,2020-08-01,,2020-07-19,2020-08-14,2020-09-04
1703-8-LE18,10464601-8,61606609-9,0,2018-03-08,0,2018-02-21,2018-03-19,2018-04-10
1057494-50-LE19,10466120-3,61608102-0,0,2019-10-25,1844.9085,2019-10-11,2019-11-06,2019-11-29
2132-21-LE20,10466120-3,61601000-K,0,2020-10-26,3100.7595,2020-10-12,2020-11-07,2020-11-26
1395-124-LE19,10477589-6,61606400-2,0,2019-12-20,9909.873722172,2019-12-07,2020-01-02,2020-01-26
2164-69-LE18,10480333-4,61608406-2,0,2018-09-13,16930.6075656,2018-08-30,2018-09-25,2018-10-20
359-38-LP20,10480333-4,61608404-6,1,2020-10-05,63117.0577584,2020-09-22,2020-10-18,2020-11-13
359-39-LE21,10480333-4,61608404-6,0,2021-09-01,20257.883592748,2021-08-19,2021-09-14,2021-10-09
1464-53-LE19,10491566-3,61606918-7,0,2019-07-09,1344.4233,2019-06-26,2019-07-22,2019-08-15
1545-72-L118,10493648-2,61602260-1,0,2018-03-13,1203.899276303,2018-02-28,2018-03-26,2018-04-14
1524-108-LE18,10493648-2,61607600-0,1,2019-01-23,,2019-01-10,2019-02-05,2019-02-25
1057532-98-LE19,10493648-2,61607600-0,1,2019-12-29,,2019-12-16,2020-01-11,2020-01-30
507428-84-LE21,10496328-5,61979210-6,1,2021-10-05,1327.6119,2021-09-22,2021-10-18,2021-11-09
2207-226-L119,10501313-2,61602153-2,0,2019-06-12,2383.62115515,2019-06-03,2019-06-29,2019-07-16
2198-46-LE18,10502616-1,61607503-9,1,2018-06-02,1263.8856,2018-05-20,2018-06-15,2018-07-03
899-2-LE18,10504847-5,61602067-6,1,2018-04-16,32282.20005198,2018-04-03,2018-04-29,2018-05-20
1705-3-LE18,10504847-5,61606603-K,1,2018-06-11,16219.185132,2018-05-29,2018-06-24,2018-07-13
900-10-R118,10504847-5,61979910-0,1,2018-06-04,44913.7218,2018-05-22,2018-06-17,2018-07-03
2171-35-LE18,10504847-5,61606611-0,1,2018-07-24,7944.2584,2018-07-11,2018-08-06,2018-08-27
608-176-LE18,10504847-5,61606602-1,1,2018-08-20,38073.081786,2018-08-07,2018-09-02,2018-09-21
2126-156-LP18,10504847-5,61606403-7,1,2018-11-05,68438.84052,2018-10-23,2018-11-18,2018-12-07
1703-28-LE18,10504847-5,61606609-9,0,2018-10-11,7848.534,2018-09-26,2018-10-22,2018-11-13
2145-8-LE19,10504847-5,61606409-6,0,2019-04-23,12962.0789,2019-04-09,2019-05-05,2019-05-23
617807-27-LE19,10504847-5,61602036-6,1,2019-04-24,44893.500994,2019-04-11,2019-05-07,2019-05-25
2171-32-LE19,10504847-5,61606611-0,1,2019-07-17,15424.385054022,2019-07-04,2019-07-30,2019-08-20
1532-13-L119,10512053-2,61933400-0,0,2019-04-08,6264.43652,2019-03-26,2019-04-21,2019-05-02
1532-13-L119,10512053-2,61933400-0,0,2019-04-08,6646.51679,2019-03-26,2019-04-21,2019-05-02
3765-13-L121,10516366-5,61602281-4,0,2021-06-18,1308.757260426,2021-06-05,2021-07-01,2021-07-15
1057508-26-LQ19,10525832-1,61607000-2,1,2019-05-02,74663.0230191,2019-04-19,2019-05-15,2019-05-29
1057508-52-LQ19,10525832-1,61607000-2,1,2019-07-18,113947.502306103,2019-07-05,2019-07-31,2019-08-13
1057508-75-LQ19,10525832-1,61607000-2,1,2019-09-04,94272.936644728,2019-08-22,2019-09-17,2019-10-09
652-110-L118,10529129-9,61954500-1,1,2018-11-06,2349.128184204,2018-10-24,2018-11-19,2018-12-13
2270-58-LE17,10531697-6,61601000-K,0,2018-02-15,14603.952,2018-02-01,2018-02-27,2018-03-13
1637-22-L118,10531697-6,61606100-3,0,2018-03-28,4514.302,2018-03-13,2018-04-08,2018-04-19
2105-3-L118,10535089-9,61606402-9,0,2018-01-18,1794.455942,2018-01-05,2018-01-31,2018-02-19
2207-45-L118,10535089-9,61602153-2,1,2018-02-13,1325.651997036,2018-01-31,2018-02-26,2018-03-19
4464-10-R118,10535089-9,61606903-9,0,2018-03-20,1987.143410698,2018-03-07,2018-04-02,2018-04-25
1979-76-LE18,10535089-9,61607401-6,0,2018-08-13,19182.35497858,2018-07-31,2018-08-26,2018-09-14
5052-14-LE19,10535089-9,61606901-2,0,2019-04-15,0,2019-04-02,2019-04-28,2019-05-23
1663-43-L119,10535089-9,61602276-8,0,2019-04-29,1574.55853292,2019-04-16,2019-05-12,2019-05-31
1663-55-L119,10535089-9,61602276-8,1,2019-07-01,1298.09230536,2019-06-18,2019-07-14,2019-08-04
1660-174-L119,10535089-9,61606408-8,1,2019-09-27,1394.8632162,2019-09-14,2019-10-10,2019-11-02
507428-109-L119,10535089-9,61979210-6,0,2019-12-05,2304.84827544,2019-11-22,2019-12-18,2020-01-06
2069-65-LQ20,10536884-4,61608101-2,0,2020-06-18,1470.69666918,2020-06-05,2020-07-01,2020-07-20
1057476-7-LE20,10536884-4,61608003-2,0,2020-06-15,30545.499569901,2020-06-01,2020-06-27,2020-07-19
2110-22-LQ18,10537246-9,61602123-0,1,2018-12-17,163783.78752,2018-12-04,2018-12-30,2019-01-16
1057480-26-LQ20,10537246-9,61602123-0,1,2020-12-21,177590.6544,2020-12-08,2021-01-03,2021-01-20
2112-29-L119,10543789-7,61602223-7,0,2019-06-13,1203.7550058,2019-06-01,2019-06-27,2019-07-15
1623-23-L118,10543975-K,61602142-7,0,2018-05-23,4793.565,2018-05-10,2018-06-05,2018-06-26
1660-110-L119,10543975-K,61606408-8,0,2019-06-11,2655.786864,2019-05-30,2019-06-25,2019-07-16
2125-151-L119,10543975-K,61606407-K,0,2019-11-08,3321.957,2019-10-25,2019-11-20,2019-12-10
1660-78-L119,10548375-9,61606408-8,0,2019-04-29,1992.9289368,2019-04-16,2019-05-12,2019-05-31
2102-18-LE20,10549866-7,61602212-1,0,2020-04-13,20538.676434,2020-04-03,2020-04-29,2020-05-15
2102-18-LE21,10549866-7,61602212-1,0,2021-05-07,2930.60405,2021-04-24,2021-05-20,2021-06-06
2102-19-LE21,10549866-7,61602212-1,0,2021-05-07,2965.9225,2021-04-23,2021-05-19,2021-06-07
1553-397-L118,10552568-0,61607502-0,1,2018-03-26,3752.01254,2018-03-13,2018-04-08,2018-04-28
5053-24-LE18,10562685-1,61606901-2,0,2018-02-27,1210.890711,2018-02-15,2018-03-13,2018-03-28
924-41-L118,10562685-1,61601000-K,0,2018-07-14,3284.58896,2018-07-04,2018-07-30,2018-08-19
1746-62-L118,10562685-1,61601000-K,1,2018-11-05,3046.815,2018-10-23,2018-11-18,2018-12-13
4346-22-L118,10562685-1,61606912-8,0,2018-12-26,1434.60864,2018-12-12,2019-01-07,2019-01-30
1553-151-L119,10562685-1,61607502-0,1,2019-02-12,1535.21026,2019-01-30,2019-02-25,2019-03-19
2084-20-R119,10562685-1,61607900-K,0,2019-03-18,3724.0246567536,2019-03-03,2019-03-29,2019-04-15
1623-14-L119,10562685-1,61602142-7,1,2019-04-10,1408.274202708,2019-03-28,2019-04-23,2019-05-16
1040758-11-L119,10562685-1,61601000-K,0,2019-05-06,2397.934023,2019-04-23,2019-05-19,2019-06-07
4127-18-L119,10562685-1,61975700-9,0,2019-09-11,2230.006,2019-09-13,2019-10-09,2019-11-05
1057496-35-L119,10562685-1,61608105-5,0,2019-11-06,1238.8332,2019-10-24,2019-11-19,2019-12-13
1057049-256-LE19,10562685-1,61608604-9,0,2019-11-22,6394.518186,2019-11-11,2019-12-07,2019-12-26
4346-5-L120,10562685-1,61606912-8,0,2020-09-14,4189.36239624,2020-09-01,2020-09-27,2020-10-21
1057543-8-LE21,10562685-1,61607201-3,0,2021-01-25,7099.992395425,2021-01-16,2021-02-11,2021-03-09
