id_firm_rut,cat_year,amt_revenue_value,n_employees
10075499-1,2021,12361355.75,94
10075499-1,2022,14044194.97,123
10082693-3,2018,16629037.27,197
10082693-3,2019,14611097.26,146
10082693-3,2020,12893647.04,52
10082693-3,2021,10290400.42,149
10082693-3,2022,13132289.93,178
10087024-K,2018,11529939.52,151
10087024-K,2019,14146296.66,30
10087024-K,2020,10303256.34,137
10087024-K,2021,15378821.8,151
10087024-K,2022,16575800.76,123
10096134-2,2018,11048342.18,75
10096134-2,2019,16615039.96,11
10096134-2,2020,12555914.81,141
10096134-2,2021,12989103.82,64
10096134-2,2022,17406763.24,40
10104798-9,2018,16372590.57,113
10104798-9,2019,12946495.79,131
10104798-9,2020,12823265.68,108
10104798-9,2021,17799229.19,194
10104798-9,2022,16316951.18,1
10115802-0,2018,12741982.71,147
10115802-0,2019,10305868.54,169
10115802-0,2020,18046086.32,194
10115802-0,2021,20226634.5,25
10115802-0,2022,17542082.96,79
10116314-8,2018,11808184.2,31
10116314-8,2019,13272178.77,96
10116314-8,2020,23009363.78,200
10116314-8,2021,16632578.55,172
10116314-8,2022,17966096.86,63
10121458-3,2018,12484703.94,131
10121458-3,2019,16883831.42,84
10121458-3,2020,10481267.75,144
10121458-3,2021,9765896.17,119
10121458-3,2022,12413967.58,3
10122692-1,2018,13791071.15,28
10122692-1,2019,13272584.27,102
10122692-1,2020,14851588.81,33
10122692-1,2021,14128766.77,187
10122692-1,2022,16966364.28,197
10125361-9,2018,12828018.51,157
10125361-9,2019,8618627.95,123
10125361-9,2020,12818873.85,189
10125361-9,2021,18691346.89,162
10125361-9,2022,22373812.63,130
10140651-2,2018,18150367.31,15
10140651-2,2019,16121382.94,199
10140651-2,2020,15405303.14,111
10140651-2,2021,16188865.17,73
10140651-2,2022,14895687.09,26
10145318-9,2018,14467683.95,106
10145318-9,2019,17321873.56,78
10145318-9,2020,11692846.46,42
10145318-9,2021,23670408.46,166
10145318-9,2022,22848293.39,78
10165152-5,2018,18827295.7,147
10165152-5,2019,22356111.94,28
10165152-5,2020,11886412.47,12
10165152-5,2021,25541208.08,141
10165152-5,2022,17970021.97,169
10181995-7,2018,9286159.62,106
10181995-7,2019,12672168.04,9
10181995-7,2020,6262891.62,35
10181995-7,2021,16021930.72,52
10181995-7,2022,15387096.4,74
10183129-9,2018,14034019.57,161
10183129-9,2019,23484066.89,189
10183129-9,2020,13776982.97,17
10183129-9,2021,18738185.24,23
10183129-9,2022,14089834.29,72
10192972-8,2018,17972457.06,46
10192972-8,2019,20572732.94,18
10192972-8,2020,15042013.76,37
10192972-8,2021,10935226.99,167
10192972-8,2022,12855785.65,184
10196147-8,2018,26059782.58,9
10196147-8,2019,19399859.77,24
10196147-8,2020,11326522.42,117
10196147-8,2021,11391727.57,139
10196147-8,2022,9572881.65,104
10197404-9,2018,13131662.46,145
10197404-9,2019,13828436.27,41
10197404-9,2020,7485621.56,195
10197404-9,2021,20294325.66,186
10197404-9,2022,16512057.67,167
10199037-0,2018,10802657.94,22
10199037-0,2019,18012905.61,123
10199037-0,2020,11911708.64,4
10199037-0,2021,19334813.17,68
10199037-0,2022,17253968.22,68
10200298-9,2018,20494856.2,163
10200298-9,2019,15681093.78,194
10200298-9,2020,15899058.84,128
10200298-9,2021,20585185.99,44
10200298-9,2022,11531799.37,164
10200896-0,2018,12362553.88,168
10200896-0,2019,12519596.78,173
10200896-0,2020,13226296.71,73
10200896-0,2021,17187017.99,102
10200896-0,2022,12205849.32,52
10201676-9,2018,22141365.63,184
10201676-9,2019,16012572.99,146
10201676-9,2020,17465641.66,189
10201676-9,2021,22637340.26,103
10201676-9,2022,15657491.25,172
10203518-6,2018,8190298.73,140
10203518-6,2019,10505570.19,162
10203518-6,2020,18047800.79,54
10203518-6,2021,25269127.08,14
10203518-6,2022,13216221.97,129
10226720-6,2018,15454602.98,174
10226720-6,2019,14471916.62,120
10226720-6,2020,17934337.26,118
10226720-6,2021,12473128.63,35
10226720-6,2022,12298462.86,97
10233146-K,2018,10230006.08,87
10233146-K,2019,15222710.63,28
10233146-K,2020,13923169.77,183
10233146-K,2021,16995447.12,184
10233146-K,2022,9023127.1,21
10234401-4,2018,17442806.43,19
10234401-4,2019,15215997.78,140
10234401-4,2020,20665957.93,162
10234401-4,2021,16418655.31,181
10234401-4,2022,18085729.69,157
10242196-5,2018,15190478.41,183
10242196-5,2019,13232583.07,198
10242196-5,2020,23831593.85,71
10242196-5,2021,14278425.45,95
10242196-5,2022,15023346.4,15
10243807-8,2018,22958246.52,157
10243807-8,2019,8338659.72,197
10243807-8,2020,9196102.61,137
10243807-8,2021,19798735.51,69
10243807-8,2022,16788120.51,190
10244905-3,2018,23871185.37,180
10244905-3,2019,15023315.7,102
10244905-3,2020,13854606.83,184
10244905-3,2021,16099142.81,86
10244905-3,2022,9117078.48,149
10248964-0,2018,16490590.83,34
10248964-0,2019,18459469.67,54
10248964-0,2020,7628977.52,50
10248964-0,2021,10786005.27,38
10248964-0,2022,8506230.36,36
10250539-5,2018,15705089.2,47
10250539-5,2019,8019909.74,58
10250539-5,2020,9123182.52,116
10250539-5,2021,14587718.27,130
10250539-5,2022,11201979.32,11
10256039-6,2018,18013212.69,194
10256039-6,2019,21308004.6,15
10256039-6,2020,11031220.41,164
10256039-6,2021,24657610.47,179
10256039-6,2022,18198461.96,99
10264774-2,2018,12788270.01,184
10264774-2,2019,24324618.1,157
10264774-2,2020,16338604.41,160
10264774-2,2021,15559278.13,195
10264774-2,2022,20572598.97,22
10266873-1,2018,12929781.83,118
10266873-1,2019,18091805.85,26
10266873-1,2020,21033657.82,40
10266873-1,2021,15977638.39,26
10266873-1,2022,17618602.82,34
10267578-9,2018,16511146.23,137
10267578-9,2019,16605678.81,80
10267578-9,2020,19436967.79,35
10267578-9,2021,8740397.35,120
10267578-9,2022,16310110.42,66
10270119-4,2018,17572472.28,94
10270119-4,2019,21422774.55,147
10270119-4,2020,12943225.73,35
10270119-4,2021,3071920.57,106
10270119-4,2022,20158854.88,175
10276697-0,2018,16913155.86,61
10276697-0,2019,13667597.57,72
10276697-0,2020,10818104.16,183
10276697-0,2021,9559944,57
10276697-0,2022,16324150.78,64
10285386-5,2018,14923107.63,101
10285386-5,2019,16241881.96,193
10285386-5,2020,10110344.32,118
10285386-5,2021,12721692.83,55
10285386-5,2022,12171062.63,68
10287662-8,2018,23901126.58,148
10287662-8,2019,19025628.86,95
10287662-8,2020,22103834.07,173
10287662-8,2021,17807362.75,141
10287662-8,2022,16718765.74,154
10292801-6,2018,16628251.71,108
10292801-6,2019,15279509.61,135
10292801-6,2020,14416443.11,175
10292801-6,2021,23236216.48,157
10292801-6,2022,13759210.82,82
10293846-1,2018,14281325.79,81
10293846-1,2019,15961495.93,155
10293846-1,2020,13484236.96,163
10293846-1,2021,14386732.46,31
10293846-1,2022,14211161.26,136
10294518-2,2018,13135751.21,95
10294518-2,2019,21724825.05,8
10294518-2,2020,10322034.21,103
10294518-2,2021,8745866.85,197
10294518-2,2022,14846837.75,69
10296700-3,2018,18026332.91,27
10296700-3,2019,12579999.02,135
10296700-3,2020,14537503.74,133
10296700-3,2021,12316320.5,4
10296700-3,2022,16560174.29,50
10296862-K,2018,13435256.49,149
10296862-K,2019,15787107.56,78
10296862-K,2020,16815110.32,50
10296862-K,2021,15845855.55,135
10296862-K,2022,13448287,4
10298431-5,2018,17751990.47,159
10298431-5,2019,20502279.44,50
10298431-5,2020,17323417.51,137
10298431-5,2021,14092062.9,24
10298431-5,2022,17740911.88,117
10302496-K,2018,14448431.46,55
10302496-K,2019,17991877.46,135
10302496-K,2020,13126290.37,80
10302496-K,2021,17890778.74,184
10302496-K,2022,18149340.67,114
10303582-1,2018,18127675.38,101
10303582-1,2019,16864582.42,115
10303582-1,2020,15950544.36,63
10303582-1,2021,11852383.5,166
10303582-1,2022,10606086.14,36
10311270-2,2018,17520325.8,162
10311270-2,2019,19112016.98,20
10311270-2,2020,19951151.36,119
10311270-2,2021,18812197.63,160
10311270-2,2022,13186837.7,94
10311327-K,2018,20648116,22
10311327-K,2019,12492448.41,129
10311327-K,2020,19812907.3,191
10311327-K,2021,11763145.89,9
10311327-K,2022,12838235.15,58
10311905-7,2018,25332745.06,75
10311905-7,2019,17718342.08,43
10311905-7,2020,10279647.13,173
10311905-7,2021,15038001.4,133
10311905-7,2022,16990326.03,133
10316130-4,2018,12875711.91,92
10316130-4,2019,13815953.93,32
10316130-4,2020,13088589.17,113
10316130-4,2021,14018856.59,147
10316130-4,2022,15557417.36,56
10319209-9,2018,22145488.68,101
10319209-9,2019,15127028.7,110
10319209-9,2020,13169893.28,158
10319209-9,2021,11412420.73,81
10319209-9,2022,20452209.14,64
10325125-7,2018,19992318.14,60
10325125-7,2019,19892129.29,65
10325125-7,2020,14841492.07,6
10325125-7,2021,17867056.59,21
10325125-7,2022,13942780.11,137
10329604-8,2018,19008412.2,164
10329604-8,2019,9593121.75,28
10329604-8,2020,15958521.37,132
10329604-8,2021,16882805.55,30
10329604-8,2022,15137701.4,6
10336882-0,2018,16968538.81,34
10336882-0,2019,9494478.29,107
10336882-0,2020,14157129.09,136
10336882-0,2021,15986086.84,175
10336882-0,2022,18330570.61,92
10340691-9,2018,14038245.17,87
10340691-9,2019,16578765.44,159
10340691-9,2020,14728189.81,152
10340691-9,2021,10089248.19,114
10340691-9,2022,11762182.93,137
10344224-9,2018,16248303.83,72
10344224-9,2019,12631974.01,150
10344224-9,2020,15474607.49,187
10344224-9,2021,11820085.18,86
10344224-9,2022,16564726.34,124
10345765-3,2018,20650678.74,10
10345765-3,2019,17276942.35,54
10345765-3,2020,18066758.51,137
10345765-3,2021,10651477.16,159
10345765-3,2022,17300165.53,183
10346260-6,2018,16764554.54,53
10346260-6,2019,16907926.82,59
10346260-6,2020,8509254.52,156
10346260-6,2021,16393702.9,135
10346260-6,2022,16129307.11,67
10347458-2,2018,7759638.93,166
10347458-2,2019,16145826.61,11
10347458-2,2020,18339737.88,184
10347458-2,2021,9514172.39,115
10347458-2,2022,19157656.2,13
10351517-3,2018,19275273.29,35
10351517-3,2019,15341772.8,158
10351517-3,2020,13181101.94,110
10351517-3,2021,15666807.39,10
10351517-3,2022,9673587.31,57
10351530-0,2018,15693930.78,119
10351530-0,2019,15993928.47,42
10351530-0,2020,19758903.68,174
10351530-0,2021,14178603.05,26
10351530-0,2022,15209667.05,76
10353330-9,2018,17315892.11,49
10353330-9,2019,22613381.85,192
10353330-9,2020,12007346.74,158
10353330-9,2021,18313351.74,120
10353330-9,2022,12953452.93,95
10366814-K,2018,15340432.71,163
10366814-K,2019,14779755.59,118
10366814-K,2020,19643644.51,59
10366814-K,2021,15463054.39,149
10366814-K,2022,14481212.77,182
10367032-2,2018,15873281.94,100
10367032-2,2019,21454625.17,122
10367032-2,2020,18327548.42,99
10367032-2,2021,12312897.08,195
10367032-2,2022,18279681.07,193
10368369-6,2018,15508212.37,22
10368369-6,2019,17058058.37,164
10368369-6,2020,17967219.78,108
10368369-6,2021,14235424.97,113
10368369-6,2022,17986367.73,121
10377623-6,2018,10940544.09,43
10377623-6,2019,19113185.72,21
10377623-6,2020,17373274.64,90
10377623-6,2021,17133638.09,100
10377623-6,2022,15663921.15,6
10380800-6,2018,13886492.27,52
10380800-6,2019,14431144.73,129
10380800-6,2020,12429381.04,195
10380800-6,2021,16253245.66,194
10380800-6,2022,16966058.62,130
10393542-3,2018,17255083.08,17
10393542-3,2019,11726258.16,62
10393542-3,2020,13225915.13,22
10393542-3,2021,13031986.59,13
10393542-3,2022,11286109.47,23
10400247-1,2018,18033520.51,30
10400247-1,2019,15912785.28,94
10400247-1,2020,17066525.61,50
10400247-1,2021,15947609.44,199
10400247-1,2022,21043538.08,64
10403484-5,2018,13454405.92,153
10403484-5,2019,23546879.41,15
10403484-5,2020,13601273.37,192
10403484-5,2021,18640675.21,15
10403484-5,2022,16091073.11,128
10409515-1,2018,14732668.47,99
10409515-1,2019,18964910.84,100
10409515-1,2020,15358330.73,13
10409515-1,2021,19059518.2,120
10409515-1,2022,20526034.95,151
10442073-7,2018,9159278.04,171
10442073-7,2019,16957681.89,39
10442073-7,2020,13576346.22,117
10442073-7,2021,16927264.08,138
10442073-7,2022,10944705.08,35
10442395-7,2018,14907637.53,155
10442395-7,2019,12087669.73,10
10442395-7,2020,12849538.21,9
10442395-7,2021,16110545.51,87
10442395-7,2022,10919792.33,94
10444562-4,2018,16391499.48,49
10444562-4,2019,14143461.96,13
10444562-4,2020,16640749.41,73
10444562-4,2021,18031200.09,189
10444562-4,2022,14008285.34,199
10445262-0,2018,13342792.51,22
10445262-0,2019,17486070.06,32
10445262-0,2020,20834303.85,120
10445262-0,2021,15437280.87,184
10445262-0,2022,17843364.65,168
10448932-K,2018,17349450.83,43
10448932-K,2019,10710146.5,43
10448932-K,2020,10827239.24,71
10448932-K,2021,16222734.52,102
10448932-K,2022,22477089.77,44
10452846-5,2018,15960194.67,194
10452846-5,2019,15013094.2,150
10452846-5,2020,15560164.68,6
10452846-5,2021,15544293.27,20
10452846-5,2022,12614767.64,15
10458154-4,2018,14957833.94,108
10458154-4,2019,12730152.72,190
10458154-4,2020,14686915.63,194
10458154-4,2021,17535233.99,108
10458154-4,2022,12096266.82,134
10464601-8,2018,10662785.12,73
10464601-8,2019,21202346.09,174
10464601-8,2020,21095275.62,114
10464601-8,2021,15222082.34,134
10464601-8,2022,14044686.86,30
10466120-3,2018,19340653.32,29
10466120-3,2019,9819472.71,147
10466120-3,2020,11759579.09,3
10466120-3,2021,10818769.5,174
10466120-3,2022,13826816.93,161
10477589-6,2018,15206269.28,62
10477589-6,2019,14513448.86,46
10477589-6,2020,11441423.84,165
10477589-6,2021,11641046.27,9
10477589-6,2022,11204086.68,41
10480333-4,2018,12042347.8,128
10480333-4,2019,15434052.87,51
10480333-4,2020,12965062.65,150
10480333-4,2021,17639235.85,125
10480333-4,2022,10233965.99,138
10491566-3,2018,7171387.74,27
10491566-3,2019,17114345.55,200
10491566-3,2020,11364721.56,28
10491566-3,2021,20320431.34,78
10491566-3,2022,12724626.76,167
10493648-2,2018,18716123.54,186
10493648-2,2019,11249414.41,195
10493648-2,2020,13748665.3,161
10493648-2,2021,13937191.19,55
10493648-2,2022,9268228.48,36
10496328-5,2018,17809710.78,86
10496328-5,2019,17911023.34,196
10496328-5,2020,13456126.92,151
10496328-5,2021,13177901.29,93
10496328-5,2022,9555833.14,130
10501313-2,2018,16913743.12,60
10501313-2,2019,17199330.27,61
10501313-2,2020,18293164.01,8
10501313-2,2021,16581377.27,49
10501313-2,2022,7539769.11,1
10502616-1,2018,12051836.93,168
10502616-1,2019,16530712.26,95
10502616-1,2020,18139842.3,105
10502616-1,2021,17103970.85,62
10502616-1,2022,16397227.25,170
10504847-5,2018,13175439.06,80
10504847-5,2019,15961198.03,88
10504847-5,2020,13903901.58,192
10504847-5,2021,4186854.17,180
10504847-5,2022,19305293.81,88
10512053-2,2018,18701244.82,60
10512053-2,2019,11290730.37,60
10512053-2,2020,12351352.69,41
10512053-2,2021,8942723.2,115
10512053-2,2022,13681931.86,27
10516366-5,2018,14650482.11,84
10516366-5,2019,18914096.3,117
10516366-5,2020,17819739.23,144
10516366-5,2021,12098304.34,68
10516366-5,2022,19189996.93,187
10525832-1,2018,19183809.55,172
10525832-1,2019,12751563.14,184
10525832-1,2020,12143227.55,161
10525832-1,2021,18662733.91,191
10525832-1,2022,21140988.39,37
10529129-9,2018,13653213.79,21
10529129-9,2019,14278815.45,123
10529129-9,2020,15452979.41,173
10529129-9,2021,19118349.14,51
10529129-9,2022,14259510.13,54
10531697-6,2018,17297627.66,58
10531697-6,2019,18252748.76,165
10531697-6,2020,14883364.24,112
10531697-6,2021,17223899.29,161
10531697-6,2022,17324308.4,67
10535089-9,2018,16155183.15,29
10535089-9,2019,15710212.14,58
10535089-9,2020,13024758.95,176
10535089-9,2021,13134498.46,73
10535089-9,2022,15383164,43
10536884-4,2018,17979705.67,120
10536884-4,2019,11629134.71,4
10536884-4,2020,9242029.52,171
10536884-4,2021,13726463.92,13
10536884-4,2022,12537381.46,174
10537246-9,2018,9607906.75,124
10537246-9,2019,13708725.23,131
10537246-9,2020,16560193.07,145
10537246-9,2021,15213045.06,99
10537246-9,2022,13423465.86,137
10543789-7,2018,13381261.22,18
10543789-7,2019,16268809.64,11
10543789-7,2020,9361224.13,134
10543789-7,2021,19655813.64,96
10543789-7,2022,11976456.35,59
10543975-K,2018,18144906.04,39
10543975-K,2019,18824037.87,164
10543975-K,2020,15182655.55,35
10543975-K,2021,19941485.59,42
10543975-K,2022,5999263.4,41
10548375-9,2018,16325876.15,81
10548375-9,2019,13378416.41,173
10548375-9,2020,14802736.97,50
10548375-9,2021,21421085.08,18
10548375-9,2022,22838729.99,34
10549866-7,2018,14988618.25,35
10549866-7,2019,21923738.17,158
10549866-7,2020,14965064.07,54
10549866-7,2021,8512736.26,65
10549866-7,2022,14608619.24,16
10552568-0,2018,20701902.44,35
10552568-0,2019,14400182.05,112
10552568-0,2020,22921171.5,129
10552568-0,2021,15254589.39,22
10552568-0,2022,9309269.48,131
10562685-1,2018,8582744.85,80
10562685-1,2019,20582559.99,50
10562685-1,2020,13982887.89,195
10562685-1,2021,16879753.66,180
10562685-1,2022,20174035.55,116
10562816-1,2018,16519348.23,53
10562816-1,2019,9671508.04,176
10562816-1,2020,21541185.48,133
10562816-1,2021,14056051.13,67
10562816-1,2022,16662284.53,17
10571001-1,2018,25287763.25,172
10571001-1,2019,8773058.8,186
10571001-1,2020,13527130.71,193
10571001-1,2021,16929204.74,61
10571001-1,2022,11225216.24,73
10574964-3,2018,18100351,109
10574964-3,2019,13986225.44,90
10574964-3,2020,10699175.73,1
10574964-3,2021,18923553.48,70
10574964-3,2022,21293523.89,114
10576701-3,2018,14472455.06,5
10576701-3,2019,14054066.3,16
10576701-3,2020,16227738.07,18
10576701-3,2021,9359620.18,115
10576701-3,2022,10880407.55,68
10581708-8,2018,16673136.96,190
10581708-8,2019,15941344.97,2
10581708-8,2020,15819556.33,193
10581708-8,2021,15843790.6,145
10581708-8,2022,17516522.75,27
10587595-9,2018,10430392.13,48
10587595-9,2019,20837531.12,124
10587595-9,2020,5573214.57,150
10587595-9,2021,14216891.69,109
10587595-9,2022,8106524.62,4
10592331-7,2018,19867441.34,19
10592331-7,2019,18071647.46,61
10592331-7,2020,12791064.71,179
10592331-7,2021,22020788.81,122
10592331-7,2022,14500299.36,199
10609122-6,2018,13922998.59,12
10609122-6,2019,16711554.76,185
10609122-6,2020,13348589.99,76
10609122-6,2021,12619242.46,72
10609122-6,2022,18331981.33,104
10616639-0,2018,13780015.95,199
10616639-0,2019,18571244.15,172
10616639-0,2020,17569927.73,199
10616639-0,2021,12204640.49,76
10616639-0,2022,23472028.57,22
10617844-5,2018,11405233.59,99
10617844-5,2019,12985123.75,72
10617844-5,2020,22285446.97,105
10617844-5,2021,12765092.99,7
10617844-5,2022,18808649.09,121
10621591-K,2018,14093747.87,126
10621591-K,2019,15271992.37,99
10621591-K,2020,15194996.79,177
10621591-K,2021,15566830.67,82
10621591-K,2022,17144798.98,132
10628546-2,2018,20842517.11,42
10628546-2,2019,21278025.15,113
10628546-2,2020,10563396.75,12
10628546-2,2021,18175128.12,165
10628546-2,2022,19751208.73,58
10631831-K,2018,4638637.14,89
10631831-K,2019,15097430.17,13
10631831-K,2020,17922074.44,174
10631831-K,2021,22930635.44,113
10631831-K,2022,26430452.15,142
10637002-8,2018,15694187.27,141
10637002-8,2019,12733128.59,137
10637002-8,2020,7229088.31,189
10637002-8,2021,7789539.19,42
10637002-8,2022,12727435.58,157
10642735-6,2018,17401070.85,141
10642735-6,2019,7042663.55,96
10642735-6,2020,12293337.08,43
10642735-6,2021,17410221.49,35
10642735-6,2022,13637178.94,128
10653213-3,2018,19407789.32,63
10653213-3,2019,18324932.99,73
10653213-3,2020,13754773.82,168
10653213-3,2021,14097776.39,23
10653213-3,2022,19508407.22,36
10654075-6,2018,12795719.21,182
10654075-6,2019,15308018.72,176
10654075-6,2020,13844876.99,73
10654075-6,2021,10150802.13,89
10654075-6,2022,20736935.52,25
10667019-6,2018,13991593.02,30
10667019-6,2019,15786559.21,111
10667019-6,2020,22474893.46,166
10667019-6,2021,22278494.83,80
10667019-6,2022,16307347.9,178
10672968-9,2018,13230736.79,180
10672968-9,2019,10740457.85,45
10672968-9,2020,15819909.98,126
10672968-9,2021,13007397.35,106
10672968-9,2022,15471948.61,86
10677015-8,2018,10969478.09,25
10677015-8,2019,19022766.54,120
10677015-8,2020,16390684.63,8
10677015-8,2021,21874380.56,18
10677015-8,2022,21078460.93,89
10681743-K,2018,14085038.75,146
10681743-K,2019,16749162.31,177
10681743-K,2020,11852291.62,116
10681743-K,2021,16823158.08,148
10681743-K,2022,12587111.89,67
10682538-6,2018,13396224.34,34
10682538-6,2019,17040955.78,173
10682538-6,2020,21328818.85,63
10682538-6,2021,16869138.8,16
10682538-6,2022,12490065.82,155
10692705-7,2018,15197187.45,120
10692705-7,2019,20973642.16,79
10692705-7,2020,18796523.93,8
10692705-7,2021,11132545.22,149
10692705-7,2022,13311381.55,123
10701454-3,2018,15680726.81,20
10701454-3,2019,17769021.91,115
10701454-3,2020,17439160.15,40
10701454-3,2021,14694098.1,128
10701454-3,2022,12779894.85,174
10715367-5,2018,20560850.84,28
10715367-5,2019,20590374.54,126
10715367-5,2020,14129842.54,65
10715367-5,2021,18186186.32,106
10715367-5,2022,16693577.81,52
10715822-7,2018,15486927.58,8
10715822-7,2019,15417349.42,56
10715822-7,2020,14457854.41,10
10715822-7,2021,17029990.33,155
10715822-7,2022,19144447.1,26
10723513-2,2018,20074783.12,139
10723513-2,2019,13606816.93,177
10723513-2,2020,21685828.3,64
10723513-2,2021,17793485.93,189
10723513-2,2022,20725278.23,113
10747852-3,2018,20648664.25,71
10747852-3,2019,17515540.39,161
10747852-3,2020,13793255.01,126
10747852-3,2021,18017999.55,187
10747852-3,2022,6234749.55,126
10754756-8,2018,13854659.31,160
10754756-8,2019,13324757.69,110
10754756-8,2020,15714755.29,76
10754756-8,2021,15273000.57,56
10754756-8,2022,17187093.57,70
10760809-5,2018,11453078.73,162
10760809-5,2019,7772319.77,137
10760809-5,2020,14543308.17,159
10760809-5,2021,14198350.35,115
10760809-5,2022,9265383.46,123
10764429-6,2018,19170526.54,164
10764429-6,2019,9011753.32,80
10764429-6,2020,10168694.6,121
10764429-6,2021,17021034.89,186
10764429-6,2022,18532749.07,37
10781988-6,2018,7664806.81,76
10781988-6,2019,11917760.65,119
10781988-6,2020,5881963.06,55
10781988-6,2021,13715343.99,132
10781988-6,2022,13327785.83,27
10784169-5,2018,15464969.92,194
10784169-5,2019,11808161.6,115
10784169-5,2020,15442839.6,135
10784169-5,2021,10776873.42,42
10784169-5,2022,14329473.09,167
10789736-4,2018,15529568.57,138
10789736-4,2019,11733040.02,127
10789736-4,2020,17329817.93,125
10789736-4,2021,19685954.33,56
10789736-4,2022,8880415.96,173
10790556-1,2018,9335808.73,40
10790556-1,2019,13518079.42,109
10790556-1,2020,14829120.46,96
10790556-1,2021,16949420.98,92
10790556-1,2022,16486054.85,169
10792539-2,2018,13585294.11,126
10792539-2,2019,11243101.67,168
10792539-2,2020,14456530.48,63
10792539-2,2021,11533548.02,34
10792539-2,2022,10454972.13,129
10792736-0,2018,11448281.2,175
10792736-0,2019,19451305.88,97
10792736-0,2020,17690712.85,153
10792736-0,2021,17517151.88,127
10792736-0,2022,8439128.2,56
10797848-8,2018,14322775.47,95
10797848-8,2019,16571676.95,26
10797848-8,2020,8824385.97,187
10797848-8,2021,19048716.73,79
10797848-8,2022,15353820.19,188
10801133-5,2018,14892870.48,64
10801133-5,2019,14266376.49,61
10801133-5,2020,10724733.78,43
10801133-5,2021,14900584.84,170
10801133-5,2022,12772442.68,30
10806287-8,2018,18417618.22,183
10806287-8,2019,18122567.4,58
10806287-8,2020,16341639.95,53
10806287-8,2021,17711868.44,19
10806287-8,2022,17464217.95,175
10815453-5,2018,23205561.32,71
10815453-5,2019,12774436.93,131
10815453-5,2020,11570059.08,131
10815453-5,2021,20505126.23,104
10815453-5,2022,13386360.4,180
10815681-3,2018,24858727.05,196
10815681-3,2019,17934795.58,109
10815681-3,2020,17511526.73,113
10815681-3,2021,9777716.01,99
10815681-3,2022,15195989.17,192
10822366-9,2018,14001094.97,98
10822366-9,2019,16559806.01,101
10822366-9,2020,15439986.7,166
10822366-9,2021,10404783.18,77
10822366-9,2022,19613082.6,186
10829442-6,2018,20020292.63,110
