id_tender,amt_payment_value,dt_payment,id_payment
1057404-43-LE21,0,2021-09-30,104-74
1057404-43-LE21,0,2021-07-08,105--10
1057404-43-LE21,0,2021-09-27,106-71
1979-31-R118,332.01,2018-04-12,107-3
1979-31-R118,308.41,2018-04-19,108-10
1979-31-R118,346.01,2018-05-20,109-41
1979-31-R118,43.34,2018-05-27,110-48
1979-31-R118,277.94,2018-05-31,111-52
1979-153-LE19,270.81,2020-02-28,112-42
1979-153-LE19,158.51,2020-02-09,113-23
1979-153-LE19,814.79,2020-02-21,114-35
1979-153-LE19,75.14,2020-02-20,115-34
1979-153-LE19,149.88,2020-02-21,116-35
2101-32-LE20,8290.67,2020-04-30,117-11
1540-75-LE21,1055.28,2021-08-29,118-45
1540-75-LE21,490.3,2021-08-14,119-30
1540-75-LE21,5090.43,2021-09-06,120-53
757-24-L119,4753.36,2019-05-26,121-19
2048-8-LQ18,127900.59,2018-07-01,122-76
4701-2-LE18,7987.13,2018-04-07,123-28
4701-2-LE18,2736.38,2018-04-19,124-40
4701-2-LE18,2905.63,2018-05-18,125-69
1070329-8-LE21,13632.09,2021-07-29,126-65
1080089-54-LE21,295.63,2021-07-23,127-35
1080089-54-LE21,154.93,2021-07-25,128-37
1080089-54-LE21,334.43,2021-06-27,129-9
1080089-54-LE21,24.49,2021-08-06,130-49
1080089-54-LE21,707.12,2021-09-28,131-102
1057547-255-LP19,157.42,2019-09-22,132-8
1057547-255-LP19,505.52,2019-12-07,133-84
1057547-255-LP19,561.84,2019-10-25,134-41
2200-63-LE18,23481.14,2019-01-08,135-68
2036-42-L118,61.58,2018-12-22,136-45
2036-42-L118,2008.35,2018-12-22,137-45
2036-42-L118,729.38,2018-12-06,138-29
2036-42-L118,251.89,2019-01-07,139-61
2115-21-LE19,5532.7,2019-08-22,140-30
5624-11-L119,4013.69,2019-11-04,141-26
5624-11-L119,1389.73,2019-12-22,142-74
1464-55-LE21,4938.83,2021-07-20,143-10
1464-55-LE21,1137.64,2021-09-11,144-63
1464-55-LE21,2529.91,2021-07-02,145--8
1464-55-LE21,1017.51,2021-07-28,146-18
924-41-L118,2579.51,2018-10-11,147-53
1057548-14-L120,688.39,2021-01-16,148-135
1057548-14-L120,575.96,2020-10-06,149-33
1057548-14-L120,503.6,2020-10-02,150-29
1057548-14-L120,1844.38,2020-12-08,151-96
1057547-98-LE21,60.48,2021-08-02,152-66
1057547-98-LE21,3174.35,2021-07-30,153-63
1057547-98-LE21,3617.01,2021-07-05,154-38
1057547-98-LE21,705.49,2021-08-14,155-78
494-3-LQ19,24261.57,2019-05-29,156-90
494-3-LQ19,257146.62,2019-04-04,157-35
494-3-LQ19,8126.81,2019-05-10,158-71
494-3-LQ19,9274.46,2019-03-23,159-23
502-163-LE18,29475.85,2019-02-08,160-10
502-163-LE18,7520.38,2019-03-28,161-58
502-163-LE18,1942.06,2019-04-19,162-80
502-163-LE18,708.21,2019-05-13,163-104
4464-9-LE20,36.91,2020-06-10,164-36
4464-9-LE20,370.01,2020-06-01,165-27
4464-9-LE20,1736.22,2020-09-25,166-143
4464-9-LE20,49.59,2020-06-29,167-55
4464-9-LE20,263.15,2020-06-19,168-45
359-38-LP20,45596.42,2020-12-28,169-45
359-38-LP20,17520.64,2021-01-29,170-77
507428-84-LE21,82.97,2022-01-08,171-60
507428-84-LE21,350.35,2021-12-13,172-34
507428-84-LE21,92.63,2022-01-27,173-79
507428-84-LE21,46.68,2022-01-07,174-59
507428-84-LE21,754.98,2022-01-15,175-67
2198-46-LE18,111.03,2018-09-22,176-81
2198-46-LE18,955.02,2018-09-19,177-78
2198-46-LE18,150.37,2018-09-21,178-80
2198-46-LE18,47.46,2018-10-02,179-91
899-2-LE18,2471.23,2018-07-13,180-54
899-2-LE18,18494.08,2018-07-03,181-44
899-2-LE18,1418.26,2018-05-22,182-2
899-2-LE18,3407.94,2018-08-08,183-80
899-2-LE18,6490.68,2018-06-16,184-27
1705-3-LE18,8128.16,2018-09-15,185-64
1705-3-LE18,8091.03,2018-08-02,186-20
900-10-R118,44913.72,2018-09-14,187-73
2171-35-LE18,2305.36,2018-10-14,188-48
2171-35-LE18,3070.03,2018-10-14,189-48
2171-35-LE18,473.43,2018-09-03,190-7
2171-35-LE18,2095.44,2018-10-03,191-37
608-176-LE18,25460.57,2018-10-14,192-23
608-176-LE18,12207.28,2018-11-13,193-53
608-176-LE18,405.23,2018-12-05,194-75
2126-156-LP18,9749.62,2019-04-13,195-127
2126-156-LP18,58689.22,2019-02-19,196-74
617807-27-LE19,9699.62,2019-09-22,197-120
617807-27-LE19,7301.34,2019-07-21,198-57
617807-27-LE19,21710.32,2019-07-05,199-41
617807-27-LE19,6182.22,2019-06-27,200-33
2171-32-LE19,2572.67,2019-10-09,201-50
2171-32-LE19,7395.62,2019-10-15,202-56
2171-32-LE19,3830.92,2019-10-18,203-59
2171-32-LE19,320.29,2019-09-15,204-26
2171-32-LE19,1304.88,2019-10-25,205-66
1057508-26-LQ19,9158.1,2019-07-28,206-60
1057508-26-LQ19,53454.6,2019-07-16,207-48
1057508-26-LQ19,2653.56,2019-08-20,208-83
1057508-26-LQ19,9396.77,2019-08-20,209-83
1057508-52-LQ19,1197.26,2019-09-03,210-21
1057508-52-LQ19,83015.89,2019-09-08,211-26
1057508-52-LQ19,5806.9,2019-10-23,212-71
1057508-52-LQ19,11727.44,2019-10-17,213-65
1057508-52-LQ19,12200.01,2019-09-26,214-44
1057508-75-LQ19,2309.89,2019-10-30,215-21
1057508-75-LQ19,62365.58,2019-12-21,216-73
1057508-75-LQ19,4275.01,2019-10-26,217-17
1057508-75-LQ19,14931.85,2019-12-23,218-75
1057508-75-LQ19,10390.6,2019-12-09,219-61
652-110-L118,1891.7,2019-03-01,220-78
652-110-L118,134.91,2019-02-05,221-54
652-110-L118,322.52,2019-01-03,222-21
2207-45-L118,13.93,2018-06-09,223-82
2207-45-L118,511.68,2018-04-15,224-27
2207-45-L118,231.48,2018-04-12,225-24
2207-45-L118,348.58,2018-05-30,226-72
2207-45-L118,219.98,2018-06-01,227-74
1663-55-L119,138.31,2019-09-07,228-34
1663-55-L119,170.97,2019-09-06,229-33
1663-55-L119,988.8,2019-09-22,230-49
1660-174-L119,292.84,2019-11-16,231-14
1660-174-L119,91.74,2020-01-03,232-62
1660-174-L119,983.17,2020-01-04,233-63
1660-174-L119,27.1,2019-12-14,234-42
2110-22-LQ18,28569.59,2019-03-19,235-62
2110-22-LQ18,135214.2,2019-02-17,236-32
1057480-26-LQ20,177590.65,2021-04-08,237-78
1553-397-L118,1486.45,2018-05-30,238-32
1553-397-L118,133.71,2018-06-08,239-41
1553-397-L118,2131.85,2018-06-02,240-35
1746-62-L118,2050.88,2019-02-12,241-61
1746-62-L118,995.93,2019-02-11,242-60
1553-151-L119,628.22,2019-04-29,243-41
1553-151-L119,529.34,2019-04-21,244-33
1553-151-L119,377.65,2019-04-06,245-18
1623-14-L119,496.16,2019-07-17,246-62
1623-14-L119,912.12,2019-06-28,247-43
2048-3-LE21,1214.49,2021-05-08,248-12
2048-3-LE21,48.84,2021-05-17,249-21
2101-38-L121,1171.14,2021-07-24,250-57
2101-38-L121,1837.17,2021-07-11,251-44
1057540-71-LE21,627.81,2021-11-24,252-85
1057540-71-LE21,377.23,2021-11-05,253-66
1057540-71-LE21,534.04,2021-10-26,254-56
2067-40-L121,559.01,2021-12-13,255-29
2067-40-L121,1488.63,2022-01-03,256-50
2067-40-L121,235.29,2021-12-05,257-21
2067-40-L121,342.22,2022-03-15,258-121
5597-5-LE19,1242.31,2019-09-07,259-99
635-39-L119,13.19,2019-06-11,260-69
635-39-L119,1642.47,2019-06-18,261-76
635-39-L119,853.52,2019-03-26,262--8
635-39-L119,138.32,2019-04-24,263-21
635-50-L119,343.13,2019-05-17,264-29
635-50-L119,576.16,2019-06-28,265-71
635-50-L119,1020.29,2019-06-29,266-72
635-50-L119,2269.82,2019-05-20,267-32
635-50-L119,111.92,2019-05-22,268-34
635-8-L120,1173.55,2020-05-15,269-76
635-8-L120,921.08,2020-04-30,270-61
4701-8-LQ18,84679.12,2018-07-05,271-61
4701-8-LQ18,113039.1,2018-05-24,272-19
4701-12-LE18,2102.32,2018-07-09,273-41
4701-12-LE18,4292.84,2018-08-12,274-75
4701-12-LE18,6500,2018-06-18,275-20
2099-12-L119,3956.32,2019-07-13,276-84
1080089-50-LE21,6572.15,2021-06-01,277-17
1080089-50-LE21,4261.42,2021-07-09,278-55
1080089-50-LE21,14039.25,2021-06-11,279-27
3765-2-R119,15.45,2019-08-13,280-75
3765-2-R119,768.42,2019-06-27,281-28
3765-2-R119,5660.37,2019-08-10,282-72
2188-14-L118,3378.14,2018-06-09,283-89
2188-51-L118,646.33,2018-08-02,284-45
2188-51-L118,217.36,2018-07-26,285-38
2188-51-L118,24.2,2018-08-07,286-50
2188-51-L118,2634.01,2018-08-01,287-44
769-75-L118,442.29,2018-12-29,288-61
769-75-L118,270.86,2018-11-19,289-21
769-75-L118,200.42,2019-01-11,290-74
769-75-L118,3.25,2018-11-11,291-13
769-75-L118,320.65,2018-12-29,292-61
690263-14-L118,803.86,2018-06-23,293-17
690263-14-L118,385.27,2018-07-08,294-32
690263-14-L118,1872.56,2018-08-26,295-81
690263-14-L118,303,2018-07-29,296-53
1382-25-LE20,476.45,2021-01-31,297-79
1382-25-LE20,332.14,2021-02-02,298-81
1382-25-LE20,402.53,2021-01-01,299-49
690263-6-LQ21,80112.07,2021-10-23,300-47
690263-6-LQ21,9102.68,2021-11-03,301-58
690263-6-LQ21,91470.16,2021-11-16,302-71
690263-6-LQ21,27284.45,2021-11-04,303-59
1523-83-LP21,257.57,2021-10-27,304-46
1523-83-LP21,85.57,2021-09-23,305-12
1523-83-LP21,317.54,2021-11-25,306-75
1523-83-LP21,552.41,2021-12-01,307-81
1682-16-LE18,55212.75,2018-08-17,308-5
1642-23-LE19,868.56,2020-01-26,309-72
1642-23-LE19,118.4,2020-01-12,310-58
1642-23-LE19,257.42,2020-01-12,311-58
1057480-15-LE20,13002.61,2020-11-15,312-33
1057480-15-LE20,18817.67,2020-11-16,313-34
1057480-15-LE20,1510.47,2020-12-17,314-65
1553-280-L118,492.02,2018-04-07,315-12
1553-280-L118,139.33,2018-06-06,316-72
1553-280-L118,1613.07,2018-02-27,317--27
1553-280-L118,771.69,2018-05-21,318-56
1553-280-L118,1139.23,2018-06-20,319-86
2207-428-L119,792.94,2020-03-13,320-86
2207-428-L119,986.56,2020-02-27,321-71
734-58-L119,2500.3,2020-01-15,322-41
734-58-L119,93.64,2020-02-23,323-80
734-58-L119,1686.21,2019-12-11,324-6
734-58-L119,896.72,2019-12-27,325-22
3949-7-L120,608.87,2020-04-19,326--3
3949-7-L120,2588.84,2020-04-03,327--19
5053-9-LE18,2377.48,2018-04-30,328-53
5053-63-LE20,52.04,2020-11-09,329-40
5053-63-LE20,411.45,2020-10-11,330-11
5053-63-LE20,134.04,2020-10-28,331-28
5053-63-LE20,4139.53,2020-10-25,332-25
5053-63-LE20,1791.36,2020-11-05,333-36
2116-12-LE18,589.46,2018-08-08,334-86
2116-12-LE18,2.84,2018-07-10,335-57
2116-12-LE18,420.94,2018-06-18,336-35
2116-12-LE18,107.55,2018-07-13,337-60
2116-12-LE18,134.15,2018-06-26,338-43
1620-89-L119,1555.92,2020-02-28,339-74
1620-89-L119,365.23,2020-02-02,340-48
1620-110-L119,1176.2,2020-04-09,341-84
1620-110-L119,31.34,2020-04-01,342-76
1620-110-L119,125.18,2020-02-03,343-18
1620-110-L119,256.69,2020-02-08,344-23
418-18-R120,18192.03,2020-05-17,345-1
418-18-R120,19005.14,2020-07-27,346-72
418-18-R120,2168.05,2020-05-17,347-1
1663-97-LP20,6731.61,2021-05-17,348-104
1663-97-LP20,11594.95,2021-04-20,349-77
1663-97-LP20,55340.48,2021-03-18,350-44
1663-97-LP20,35327.26,2021-03-03,351-29
2132-4-LE19,5911.53,2019-04-29,352-63
2132-22-LE19,1751.61,2019-12-03,353-103
2132-22-LE19,639.83,2019-11-07,354-77
2132-22-LE19,1104.19,2019-10-15,355-54
2132-22-LE19,619.56,2019-10-27,356-66
5602-15-L119,610.01,2019-04-26,357-37
5602-15-L119,980.06,2019-04-25,358-36
1057510-11-LE19,220.27,2019-06-21,359-53
1057510-11-LE19,1521.06,2019-07-06,360-68
1057510-11-LE19,6722.69,2019-06-21,361-53
1057510-11-LE19,2591.44,2019-06-25,362-57
1057510-13-LE19,1246.29,2019-07-12,363-65
1057510-13-LE19,2417.12,2019-06-26,364-49
1057510-13-LE19,2900.67,2019-07-06,365-59
1057510-13-LE19,1300.8,2019-05-29,366-21
1057510-27-LE19,7873.15,2019-08-03,367--1
1057510-27-LE19,5834.11,2019-08-10,368-6
1057510-27-LE19,3514.56,2019-10-11,369-68
1057510-42-LE19,7218.1,2019-12-21,370-64
1057510-42-LE19,1584.72,2020-01-11,371-85
1057510-54-LP19,6300.42,2020-02-16,372-2
1057510-54-LP19,8302.35,2020-04-28,373-74
1057510-54-LP19,78222.44,2020-04-21,374-67
1057510-2-LE20,7648.12,2020-06-25,375-113
1057510-2-LE20,250.28,2020-04-03,376-30
1057510-2-LE20,1552.52,2020-02-18,377--15
1057510-2-LE20,6477.25,2020-05-03,378-60
1057510-2-LE20,332.71,2020-04-21,379-48
1057510-27-LE20,708.55,2020-11-20,380-10
1057510-27-LE20,7806.47,2021-01-05,381-56
1057510-27-LE20,3858.03,2020-12-16,382-36
1621-71-L118,293.43,2018-11-21,383-68
1621-71-L118,355.36,2018-10-24,384-40
1621-71-L118,829.89,2018-12-08,385-85
1621-71-L118,181.76,2018-11-08,386-55
1621-71-L118,1672.89,2018-11-24,387-71
1620-55-L118,1572.1,2018-09-29,388-68
1620-55-L118,389.2,2018-08-01,389-9
1620-55-L118,69.42,2018-08-28,390-36
1620-55-L118,1553.44,2018-08-25,391-33
1620-55-L118,519.32,2018-08-02,392-10
912638-25-LE18,10255.73,2018-06-26,393-72
912638-25-LE18,498.27,2018-04-24,394-9
912638-25-LE18,9959.46,2018-05-26,395-41
912638-25-LE18,1214.19,2018-05-11,396-26
1057422-1-LE19,583.76,2019-06-02,397-54
1057422-1-LE19,2004.4,2019-04-30,398-21
1057422-1-LE19,4371.41,2019-04-17,399-8
4375-72-LE19,2236.54,2019-10-01,400-117
4375-72-LE19,738.58,2019-07-10,401-34
4375-72-LE19,4224.29,2019-07-13,402-37
1057417-265-LQ19,11438.93,2020-04-29,403-70
1057417-265-LQ19,24512.7,2020-06-12,404-114
1057417-143-LQ21,4789.93,2021-11-14,405-47
1057417-143-LQ21,39967.39,2021-11-17,406-50
1382-33-LQ19,7482.28,2019-09-27,407-42
1382-33-LQ19,30539.35,2019-09-01,408-16
1382-33-LQ19,93009.04,2019-10-06,409-51
1382-33-LQ19,20216.28,2019-10-05,410-50
2078-131-R119,2410.77,2019-04-09,411-75
2078-131-R119,17498.42,2019-02-11,412-18
2078-131-R119,6751.36,2019-04-20,413-86
1514-13-LE19,1719.77,2019-05-03,414-42
1514-13-LE19,4261.52,2019-05-18,415-57
1514-13-LE19,2771.57,2019-05-12,416-51
1514-13-LE19,178.95,2019-04-15,417-24
1514-13-LE19,407.73,2019-05-11,418-50
1514-3-LE20,1106.31,2020-05-08,419-71
1514-3-LE20,1295.43,2020-06-28,420-122
1514-3-LE20,1575.42,2020-03-26,421-28
1514-3-LE20,3407.55,2020-04-23,422-56
1488-9-LP18,13618.17,2018-06-24,423-82
1488-9-LP18,11223.98,2018-04-22,424-19
1488-9-LP18,7369.95,2018-04-23,425-20
1488-9-LP18,3909.13,2018-04-24,426-21
1488-9-LP18,65608.4,2018-03-27,427--7
1488-23-LQ20,16329,2020-05-28,428-36
1488-23-LQ20,58664.11,2020-05-22,429-30
1488-23-LQ20,34493.44,2020-05-03,430-11
1383-6-L121,1765.1,2021-07-19,431-65
1950-29-LE18,0,2018-05-03,432-39
1950-29-LE18,0,2018-03-19,433--6
1950-29-LE18,0,2018-05-27,434-63
1950-107-LE18,0,2019-01-04,435-99
1950-107-LE18,0,2018-12-02,436-66
1950-107-LE18,0,2018-11-23,437-57
1950-107-LE18,0,2019-02-01,438-127
1950-71-LE19,0,2019-12-01,439-79
1950-71-LE19,0,2019-10-21,440-38
1950-71-LE19,0,2019-10-25,441-42
1950-71-LE19,0,2019-08-15,442--29
1950-71-LE19,0,2019-09-19,443-6
1950-7-LE20,0,2020-03-10,444--18
1950-7-LE20,0,2020-04-10,445-13
1950-7-LE20,0,2020-06-20,446-84
1950-7-LE20,0,2020-04-17,447-20
1950-7-LE20,0,2020-04-06,448-9
1959-111-LE18,12189.77,2018-11-16,449-17
1959-111-LE18,3402.64,2018-10-29,450--1
1746-19-L120,313.93,2020-10-06,451-70
1746-19-L120,1868.79,2020-09-30,452-64
2060-115-L118,64.09,2018-08-23,453-29
2060-115-L118,1186.48,2018-11-25,454-123
2060-115-L118,706.89,2018-08-31,455-37
2060-115-L118,783.06,2018-09-30,456-67
1660-180-L118,1097.68,2018-10-29,457-51
1660-180-L118,357.08,2018-10-09,458-31
1660-180-L118,511.63,2018-10-19,459-41
2125-41-L119,1532,2019-07-05,460-78
2125-41-L119,1315.5,2019-09-03,461-138
5602-32-LE20,309.82,2020-07-23,462-96
5602-32-LE20,100.82,2020-07-26,463-99
5602-32-LE20,359.38,2020-05-28,464-40
5602-32-LE20,47.61,2020-04-21,465-3
5602-32-LE20,1455.76,2020-06-27,466-70
1620-96-L118,253.75,2018-12-27,467-60
1620-96-L118,427.48,2019-01-28,468-92
1620-96-L118,252.39,2018-11-11,469-14
1620-96-L118,626.19,2018-12-25,470-58
1620-140-L118,2062.19,2019-02-19,471-34
650485-6-R119,27708.51,2019-11-04,472-112
650485-6-R119,5264.61,2019-09-06,473-53
1511-29-L118,1287.63,2018-07-24,474-37
1511-29-L118,1368.97,2018-08-03,475-47
1511-29-L118,4740.31,2018-07-06,476-19
1511-20-LE19,10336.13,2019-05-07,477-19
1057461-14-LE21,12116.71,2021-07-02,478-84
1057461-14-LE21,7725.37,2021-05-17,479-38
1057461-14-LE21,13390.85,2021-05-10,480-31
2026-102-L119,5375.45,2019-09-14,481-61
2026-102-L119,1119.39,2019-10-29,482-106
2026-102-L119,121.86,2019-08-07,483-23
2026-102-L119,285.27,2019-10-29,484-106
2026-102-L119,29.45,2019-08-08,485-24
2026-77-LE20,2194.77,2020-11-05,486-99
2026-77-LE20,6409.26,2020-08-31,487-33
2026-77-LE20,2341.97,2020-09-05,488-38
2026-77-LE20,15.15,2020-08-18,489-20
2026-77-LE20,4476.78,2020-10-18,490-81
1705-25-L120,1005.05,2020-09-11,491-10
1705-25-L120,5285.57,2020-10-13,492-42
1541-23-LE19,8945.51,2019-11-29,493-71
1057385-9-LE20,2593.28,2020-08-07,494-30
1057490-6-LE20,1906.12,2020-11-12,495-55
1057490-6-LE20,5937.48,2020-12-02,496-75
1057490-6-LE20,4189.09,2020-12-18,497-91
2067-32-L118,1042.2,2018-12-21,498-14
2067-32-L118,913.14,2019-01-24,499-48
1553-1464-L118,484.09,2019-03-19,500-83
1553-1464-L118,3387.97,2019-02-11,501-47
2192-18-L118,337.22,2019-03-27,502-89
2192-18-L118,596.56,2018-12-26,503--2
2192-18-L118,841.78,2019-02-04,504-38
1523-7-LE19,9019.08,2019-05-06,505-56
4464-22-LE19,528.4,2019-07-25,506-82
4464-22-LE19,110.95,2019-07-23,507-80
4464-22-LE19,4041.49,2019-07-03,508-60
4464-22-LE19,2812.13,2019-05-21,509-17
1464-53-LE19,14198.1,2019-09-14,510-30
1057532-31-L119,750.58,2019-08-28,511-42
1057532-31-L119,1746.7,2019-08-18,512-32
1057532-31-L119,146.95,2019-10-04,513-79
2126-51-LE18,703.84,2018-06-04,514-12
2126-51-LE18,164.43,2018-08-01,515-70
2126-51-LE18,338.22,2018-06-30,516-38
4906-25-L119,959.59,2019-08-13,517--17
4906-25-L119,243.24,2019-09-26,518-27
4906-29-L119,538.92,2020-01-23,519-119
4906-29-L119,192.77,2019-10-01,520-5
4906-29-L119,272.39,2019-12-12,521-77
4906-29-L119,281.82,2019-10-12,522-16
4906-29-L119,250.38,2019-11-23,523-58
1509-76-L118,1963.91,2018-10-10,524-22
2102-124-L118,935.61,2019-02-01,525-89
2102-124-L118,690.27,2019-01-07,526-64
2102-124-L118,73.45,2018-11-28,527-24
5488-13-L118,921.07,2019-01-18,528-79
5488-13-L118,425.79,2018-12-01,529-31
2060-105-L118,76.79,2018-07-26,530-5
2060-105-L118,109.31,2018-09-06,531-47
2060-105-L118,1062.29,2018-09-28,532-69
1692-15-LE21,951.9,2021-12-10,533-91
1692-15-LE21,1711.68,2021-10-17,534-37
2045-38-L118,1584.57,2019-01-17,535-32
2045-38-L118,176.22,2019-02-12,536-58
1978-77-L119,900.32,2020-01-18,537-1
1978-77-L119,1286.19,2020-03-16,538-59
1978-83-L119,5704.21,2020-03-22,539-37
1462-8-L120,57.21,2020-05-19,540-33
1462-8-L120,412.48,2020-07-14,541-89
1462-8-L120,462.38,2020-05-11,542-25
1462-8-L120,939.04,2020-06-11,543-56
1462-8-L120,402.29,2020-07-21,544-96
5053-75-LE20,7436.55,2020-11-20,545-18
5053-75-LE20,2984.15,2021-01-18,546-77
5053-75-LE20,1644.75,2020-11-14,547-12
1057402-66-LE20,4392.14,2020-07-16,548-74
1057402-66-LE20,3854.55,2020-08-07,549-96
1057402-66-LE20,1646.16,2020-08-06,550-95
1057402-66-LE20,14695.33,2020-07-31,551-89
1057402-66-LE20,1657.75,2020-09-07,552-127
1057402-302-LE20,122.48,2021-03-31,553-59
1057402-302-LE20,4465.43,2021-05-12,554-101
1057402-302-LE20,558.34,2021-04-04,555-63
1057402-302-LE20,68.02,2021-02-07,556-7
1057402-302-LE20,2246.51,2021-03-17,557-45
2099-43-L121,755.81,2021-11-18,558-29
2099-43-L121,1512.73,2021-12-17,559-58
2099-43-L121,946.74,2021-12-25,560-66
2099-43-L121,181.5,2021-12-19,561-60
2099-43-L121,829.04,2021-12-22,562-63
1747-2-L118,476.07,2018-05-04,563-80
1747-2-L118,411.52,2018-04-13,564-59
1747-2-L118,890.42,2018-04-23,565-69
1747-59-L119,2160.35,2020-01-16,566-53
1747-59-L119,286.08,2020-01-19,567-56
1747-59-L119,307.42,2019-12-21,568-27
1747-59-L119,1029.12,2019-12-01,569-7
1747-59-L119,329.52,2020-01-21,570-58
2069-21-LE18,71570.75,2018-04-02,571-11
1380-68-LQ19,42087.77,2019-08-09,572-94
1380-68-LQ19,39989.48,2019-07-06,573-60
2133-60-LQ18,31283.11,2018-08-21,574-39
2133-60-LQ18,155550.19,2018-08-14,575-32
1488-26-LQ20,48398.84,2020-05-21,576-29
1488-26-LQ20,144915.61,2020-06-14,577-53
